@_uuid,today,general_infoq5_organization,general_infoq1_province,general_infoq2_district,s1_household_profile/head_of_household/female_hhd,s1_household_profile/head_of_household/child_hhd,s1_household_profile/head_of_household/elderly_hhd,s1_household_profile/head_of_household/chronically_ill,s1_household_profile/head_of_household/hh_disability,s2_cash_distribution_processq2_1_do_u_think_gave_right_people,s2_cash_distribution_processq2_3_how_mach_cash,s2_cash_distribution_processq2_5_travel_more_than_1_hour,s2_cash_distribution_processq2_6_feel_unsafe_when_travelling,s3_use_of_cash_assistanceq3_4_cash_improved_wellbeing_ur_hhd,s3_use_of_cash_assistanceq3_5_1_food,s3_use_of_cash_assistanceq3_5_2_kitchen_items_nfis,s3_use_of_cash_assistanceq3_5_3_hygiene_items_nfis,s3_use_of_cash_assistanceq3_5_4_clothes_nfis,s3_use_of_cash_assistanceq3_5_5_blankets_nfis,s3_use_of_cash_assistanceq3_5_6_rent,s3_use_of_cash_assistanceq3_5_7_shelter_repair,s3_use_of_cash_assistanceq3_5_8_health,s3_use_of_cash_assistanceq3_5_9_transportation,s3_use_of_cash_assistanceq3_5_10_utillites,s3_use_of_cash_assistanceq3_5_11_debt_repayment,s3_use_of_cash_assistanceq3_5_12_education,s3_use_of_cash_assistanceq3_5_13_saved,s5_multi_sector_outcome_indexq5_4_debt_compared,CSI,rCSI_newThreshold,FCS,FCS_Level,FCS_rCSI
e84938a4-30d3-46b5-8d6b-f61e81389578,2018-01-16,NRC,Hirat,Injil,,,,,,yes,26000,yes,no,yes_improved_a_lot,almost_nothing,,,,,less_than_half,,less_than_half,less_than_half,less_than_half,,,less_than_half,less,7,2,31.5,2,2
3cadf399-14aa-4723-abab-a347080b6607,2018-01-16,NRC,Hirat,Injil,1,0,0,0,0,yes,26000,no,no,yes_improved_a_lot,more_than_half,,,,,less_than_half,,less_than_half,less_than_half,less_than_half,,,,same,11,1,39.5,2,1
578bc738-a70a-453b-8ed5-7a613af8a5d1,2018-01-16,NRC,Hirat,Injil,,,,,,yes,26000,no,yes,yes_improved_a_lot,almost_nothing,,,,,less_than_half,,less_than_half,less_than_half,less_than_half,,,,same,8,2,40.5,2,2
4b9b1ca6-4ad0-4629-9dda-8f7f2c84a03d,2018-01-15,NRC,Hirat,Injil,,,,,,yes,26000,no,no,yes_improved_a_lot,more_than_half,,,,,less_than_half,,less_than_half,less_than_half,,,,less_than_half,same,11,1,41,2,1
8fbd2ea0-b186-49ae-8b2d-85fa020199cc,2018-01-16,NRC,Hirat,Injil,,,,,,yes,26000,no,no,yes_improved_a_lot,more_than_half,,,,,less_than_half,,less_than_half,less_than_half,less_than_half,,,,same,10,1,37.5,2,1
c7d8b26e-9ffb-45b1-ba9b-7fb0e735fc77,2018-01-15,NRC,Hirat,Hirat,1,0,0,0,0,yes,26000,no,no,yes_improved_a_lot,less_than_half,,,,,less_than_half,,less_than_half,less_than_half,,,,,same,16,1,18.5,1,1
92a30ac7-9122-44e6-b2ca-235539f2dacd,2018-01-15,NRC,Hirat,Hirat,,,,,,yes,26000,no,no,yes_improved_a_lot,less_than_half,,,,,less_than_half,,less_than_half,less_than_half,,more_than_half,,,less,4,2,38,2,2
0edfbaca-1a86-43bc-877d-7b41393f9441,2018-01-15,NRC,Hirat,Hirat,1,0,0,0,0,yes,26000,no,no,yes_improved_a_lot,less_than_half,,,,,less_than_half,,less_than_half,less_than_half,,more_than_half,,,less,7,2,37.5,2,2
3c10cce9-aa83-4265-8a05-6f1f6acce371,2018-01-17,PIN,Jawzjan,Shiberghan,,,,,,yes,14000,no,no,yes_improved_a_lot,less_than_half,,,,,,,,,,more_than_half,,,same,9,2,31.5,2,2
d01ace78-bba2-4415-a762-3e33dafd29ee,2018-01-17,PIN,Jawzjan,Shiberghan,,,,,,yes,14000,no,no,yes_improved_a_lot,less_than_half,,,,,,,more_than_half,,,less_than_half,,,more,9,2,36.5,2,2
a4c28801-5148-4108-8490-c89b6f72560b,2018-01-17,PIN,Jawzjan,Shiberghan,,,,,,yes,14000,no,no,yes_improved_a_lot,almost_all,,,,,,,,,,,,,more,7,2,25.5,1,1
951de6a1-6d34-4098-8061-80aaa8fffb40,2018-01-17,PIN,Jawzjan,Shiberghan,,,,,,yes,14000,no,no,yes_improved_a_lot,less_than_half,,,,,,,more_than_half,,,,,,more,9,2,35.5,2,2
8c72e0ad-0c3a-42da-9486-1697512ab7f8,2018-01-17,PIN,Jawzjan,Shiberghan,,,,,,yes,14000,no,no,yes_improved_a_lot,less_than_half,,,,,,,more_than_half,,less_than_half,,,,more,9,2,32.5,2,2
1564bac9-d7eb-4e32-85c0-6e4e42fa6df1,2018-01-17,PIN,Jawzjan,Shiberghan,,,,,,yes,14000,no,no,yes_improved_a_lot,less_than_half,,,,,,,more_than_half,,,,,,more,3,3,32.5,2,3
3fbfa49f-1ac3-444c-a4f2-92be394d5d9c,2018-01-17,PIN,Jawzjan,Shiberghan,,,,,,yes,14000,no,no,yes_improved_a_lot,less_than_half,,,,,,,more_than_half,,,,,,same,11,1,37.5,2,1
8bd457ae-9944-40b3-8c03-7ad07a5774e6,2018-01-16,PIN,Jawzjan,Shiberghan,,,,,,yes,14000,no,no,yes_improved_a_lot,less_than_half,,,less_than_half,,,,more_than_half,,,less_than_half,,,more,4,2,45.5,3,3
ab6720f7-7b0e-47af-9a9a-f7823117c9f3,2018-01-16,PIN,Jawzjan,Shiberghan,,,,,,yes,14000,no,no,yes_improved_a_lot,less_than_half,,,,,,,more_than_half,,,,,,more,15,1,30,2,1
967612a8-0bf8-4715-849c-897c78042ee0,2018-01-16,PIN,Jawzjan,Shiberghan,,,,,,yes,14000,no,no,yes_improved_a_lot,less_than_half,,,,less_than_half,,,more_than_half,,less_than_half,,,,more,14,1,33.5,2,1
3224af58-ab82-4c0d-a2cd-ba88a0ce9679,2018-01-16,PIN,Jawzjan,Shiberghan,,,,,,yes,14000,no,no,yes_improved_a_lot,less_than_half,,,,,less_than_half,,more_than_half,,,less_than_half,,,more,9,2,51.5,3,3
04b2ee7c-0c23-4f77-ba27-baaff6f888c9,2018-01-16,PIN,Jawzjan,Shiberghan,,,,,,yes,14000,no,no,yes_improved_a_lot,less_than_half,,,less_than_half,less_than_half,less_than_half,,less_than_half,less_than_half,less_than_half,more_than_half,,,less,10,1,33.5,2,1
e47ef407-fb34-42b4-9ad3-53f8ee1d6032,2018-01-17,NRC,Badghis,Qala_e_Naw,,,,,,yes,26000,no,no,yes_improved_a_lot,less_than_half,less_than_half,less_than_half,less_than_half,less_than_half,less_than_half,,less_than_half,less_than_half,less_than_half,,,,less,0,3,49.5,3,3
28fd8e60-f1f7-4565-90b2-6694fd1aed5a,2018-01-17,NRC,Badghis,Qala_e_Naw,,,,,,yes,26000,yes,no,yes_improved_a_little,more_than_half,less_than_half,less_than_half,,,less_than_half,,less_than_half,less_than_half,less_than_half,,,,less,3,3,38.5,2,3
e795238e-86b3-4dbd-bedb-caef17271428,2018-01-17,NRC,Badghis,Qala_e_Naw,,,,,,yes,26000,no,no,yes_improved_a_little,less_than_half,less_than_half,less_than_half,less_than_half,,less_than_half,,less_than_half,,less_than_half,,,,less,1,3,48.5,3,3
fa2384a1-b6a1-45a2-8ce3-6959f9c4e307,2018-01-17,NRC,Badghis,Qala_e_Naw,,,,,,yes,26000,no,no,yes_improved_a_lot,less_than_half,less_than_half,less_than_half,,,less_than_half,,less_than_half,,,less_than_half,,,less,2,3,40.5,2,3
c994f46a-9122-4f59-b728-5198ebc4899e,2018-01-17,NRC,Badghis,Qala_e_Naw,,,,,,yes,26000,no,no,yes_improved_a_lot,less_than_half,less_than_half,less_than_half,less_than_half,less_than_half,less_than_half,,less_than_half,less_than_half,less_than_half,,,,less,0,3,49.5,3,3
8cf7971e-f213-4d3b-a7d0-aa1711b21525,2018-01-17,NRC,Badghis,Qala_e_Naw,,,,,,yes,26000,no,no,yes_improved_a_lot,less_than_half,less_than_half,less_than_half,less_than_half,less_than_half,less_than_half,,,less_than_half,less_than_half,less_than_half,,,less,2,3,45.5,3,3
f7ec3d04-95b8-464a-9498-ff0d750ea283,2018-01-17,NRC,Badghis,Qala_e_Naw,,,,,,yes,26000,no,no,yes_improved_a_little,less_than_half,less_than_half,less_than_half,,,less_than_half,,,,less_than_half,less_than_half,,,less,3,3,36.5,2,3
68d19d0a-5e26-4efb-8658-9089f7707ee4,2018-01-17,NRC,Badghis,Qala_e_Naw,,,,,,yes,26000,no,no,yes_improved_a_little,less_than_half,less_than_half,less_than_half,,less_than_half,,,less_than_half,less_than_half,less_than_half,,,,less,2,3,38.5,2,3
b2f2c0fb-cf01-49bc-82fc-f72860e0543a,2018-01-17,NRC,Badghis,Qala_e_Naw,,,,,,yes,26000,no,no,yes_improved_a_little,less_than_half,,,,,,,,,,more_than_half,,,less,2,3,33.5,2,3
